"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2024-03-05T23:00:00 UTC",1709679600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-05T23:15:00 UTC",1709680500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-05T23:30:00 UTC",1709681400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-05T23:45:00 UTC",1709682300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T00:00:00 UTC",1709683200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T00:15:00 UTC",1709684100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T00:30:00 UTC",1709685000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T00:45:00 UTC",1709685900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T01:00:00 UTC",1709686800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T01:15:00 UTC",1709687700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T01:30:00 UTC",1709688600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T01:45:00 UTC",1709689500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T02:00:00 UTC",1709690400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T02:15:00 UTC",1709691300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T02:30:00 UTC",1709692200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T02:45:00 UTC",1709693100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T03:00:00 UTC",1709694000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T03:15:00 UTC",1709694900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T03:30:00 UTC",1709695800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T03:45:00 UTC",1709696700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T04:00:00 UTC",1709697600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T04:15:00 UTC",1709698500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T04:30:00 UTC",1709699400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T04:45:00 UTC",1709700300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T05:00:00 UTC",1709701200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T05:15:00 UTC",1709702100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T05:30:00 UTC",1709703000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T05:45:00 UTC",1709703900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T06:00:00 UTC",1709704800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T06:15:00 UTC",1709705700,9.8373785,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T06:30:00 UTC",1709706600,103.25984,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T06:45:00 UTC",1709707500,343.7066,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T07:00:00 UTC",1709708400,468.21515,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T07:15:00 UTC",1709709300,573.0722,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T07:30:00 UTC",1709710200,781.3483,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T07:45:00 UTC",1709711100,1007.1426,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T08:00:00 UTC",1709712000,1240.9546,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T08:15:00 UTC",1709712900,1454.5212,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T08:30:00 UTC",1709713800,1671.389,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T08:45:00 UTC",1709714700,1936.7662,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2024-03-06T09:00:00 UTC",1709715600,1966.297,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
