"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2020-11-04T23:00:00Z",1604530800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-04T23:15:00Z",1604531700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-04T23:30:00Z",1604532600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-04T23:45:00Z",1604533500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T00:00:00Z",1604534400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T00:15:00Z",1604535300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T00:30:00Z",1604536200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T00:45:00Z",1604537100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T01:00:00Z",1604538000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T01:15:00Z",1604538900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T01:30:00Z",1604539800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T01:45:00Z",1604540700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T02:00:00Z",1604541600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T02:15:00Z",1604542500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T02:30:00Z",1604543400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T02:45:00Z",1604544300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T03:00:00Z",1604545200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T03:15:00Z",1604546100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T03:30:00Z",1604547000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T03:45:00Z",1604547900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T04:00:00Z",1604548800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T04:15:00Z",1604549700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T04:30:00Z",1604550600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T04:45:00Z",1604551500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T05:00:00Z",1604552400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T05:15:00Z",1604553300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T05:30:00Z",1604554200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T05:45:00Z",1604555100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T06:00:00Z",1604556000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T06:15:00Z",1604556900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T06:30:00Z",1604557800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T06:45:00Z",1604558700,2,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T07:00:00Z",1604559600,18,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T07:15:00Z",1604560500,39,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T07:30:00Z",1604561400,67,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T07:45:00Z",1604562300,117,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T08:00:00Z",1604563200,183,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T08:15:00Z",1604564100,256,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T08:30:00Z",1604565000,305,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T08:45:00Z",1604565900,354,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T09:00:00Z",1604566800,402,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T09:15:00Z",1604567700,450,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T09:30:00Z",1604568600,486,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T09:45:00Z",1604569500,521,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T10:00:00Z",1604570400,549,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T10:15:00Z",1604571300,566,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T10:30:00Z",1604572200,580,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T10:45:00Z",1604573100,595,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T11:00:00Z",1604574000,588,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T11:15:00Z",1604574900,595,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T11:30:00Z",1604575800,588,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T11:45:00Z",1604576700,590,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T12:00:00Z",1604577600,584,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T12:15:00Z",1604578500,567,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T12:30:00Z",1604579400,547,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T12:45:00Z",1604580300,530,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T13:00:00Z",1604581200,502,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T13:15:00Z",1604582100,464,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T13:30:00Z",1604583000,419,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T13:45:00Z",1604583900,382,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T14:00:00Z",1604584800,339,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T14:15:00Z",1604585700,283,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T14:30:00Z",1604586600,208,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T14:45:00Z",1604587500,133,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T15:00:00Z",1604588400,79,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T15:15:00Z",1604589300,53,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T15:30:00Z",1604590200,30,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T15:45:00Z",1604591100,9,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T16:00:00Z",1604592000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T16:15:00Z",1604592900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T16:30:00Z",1604593800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T16:45:00Z",1604594700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T17:00:00Z",1604595600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T17:15:00Z",1604596500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T17:30:00Z",1604597400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T17:45:00Z",1604598300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T18:00:00Z",1604599200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T18:15:00Z",1604600100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T18:30:00Z",1604601000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T18:45:00Z",1604601900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T19:00:00Z",1604602800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T19:15:00Z",1604603700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T19:30:00Z",1604604600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T19:45:00Z",1604605500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T20:00:00Z",1604606400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T20:15:00Z",1604607300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T20:30:00Z",1604608200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T20:45:00Z",1604609100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T21:00:00Z",1604610000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T21:15:00Z",1604610900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T21:30:00Z",1604611800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T21:45:00Z",1604612700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T22:00:00Z",1604613600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T22:15:00Z",1604614500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T22:30:00Z",1604615400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-11-05T22:45:00Z",1604616300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
