"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2021-01-25T23:00:00Z",1611615600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-25T23:15:00Z",1611616500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-25T23:30:00Z",1611617400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-25T23:45:00Z",1611618300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T00:00:00Z",1611619200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T00:15:00Z",1611620100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T00:30:00Z",1611621000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T00:45:00Z",1611621900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T01:00:00Z",1611622800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T01:15:00Z",1611623700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T01:30:00Z",1611624600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T01:45:00Z",1611625500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T02:00:00Z",1611626400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T02:15:00Z",1611627300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T02:30:00Z",1611628200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T02:45:00Z",1611629100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T03:00:00Z",1611630000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T03:15:00Z",1611630900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T03:30:00Z",1611631800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T03:45:00Z",1611632700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T04:00:00Z",1611633600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T04:15:00Z",1611634500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T04:30:00Z",1611635400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T04:45:00Z",1611636300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T05:00:00Z",1611637200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T05:15:00Z",1611638100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2021-01-26T05:30:00Z",1611639000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
